Curriculum,Anthropology(Conc in Bio Anth),,,,,,,,
Institution,"University of California, San Diego",,,,,,,,
Degree Type,BA,,,,,,,,
System Type,Quarter,,,,,,,,
CIP,45.0299,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,ANTH 101,ANTH,101,,,,4,,
4,ANBI CORE 1,,,,,,4,,
2,ANTH 102,ANTH,102,,,,4,,
5,ANBI CORE 2,,,,,,4,,
3,ANTH 103,ANTH,103,,,,4,,
6,ANBI CORE 3,,,,,,4,,
7,ANBI CORE 4,,,,,,4,,
8,ANTH UD Elective 1,,,,,,4,,
9,ANTH UD Elective 2,,,,,,4,,
10,ANTH UD Elective 3,,,,,,4,,
11,ANTH UD Elective 4,,,,,,4,,
12,ANTH UD Elective 5,,,,,,4,,

